"Laptop_name","Score","Comment","Reasosns","Description","Byers","Price","Sypply"
"Ноутбук Lenovo Ideapad 530s 15",4.5,9,"Покупателям нравится Качество сборки, небольшой весХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 15.6 ""Видеокарта: NVIDIA GeForce 940MXВес: 1.69 кгОптический привод: DVD нет4G LTE: нет",292,40985,299
"Ноутбук Acer ASPIRE 3 (A315-21)",4.5,8,"Покупателям нравится небольшой весХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 15.6 ""Видеокарта: AMD Radeon R2Вес: 2.1 кгОптический привод: DVD нет4G LTE: нет",393,14877,269
"Ноутбук DELL Vostro 5370",5,11,"Покупателям нравится небольшой вес, мощный процессорХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Процессор: Core i5Частота процессора: 1600 МГцОбъем жесткого диска: 256 ГБДиагональ экрана: 13.3 ""Видеокарта: ATI Mobility Radeon HD 530v",128,39818,344
"Ноутбук DELL Vostro 5481",4.5,3,"Покупателям нравится долгое время работы, Качество сборкиХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Процессор: Core i5Частота процессора: 1600 МГцОбъем жесткого диска: 1128 ГБДиагональ экрана: 14 ""Видеокарта: Intel UHD Graphics 620",67,37789,77
"Ноутбук Xiaomi Mi Notebook Air 12.5""",4.5,45,"Покупателям нравится долгое время работы, небольшой весХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 12.5 ""Видеокарта: Intel HD Graphics 515Вес: 1.07 кгОптический привод: DVD нет4G LTE: нет",403,39690,21
"Ноутбук Apple MacBook Air 13 with Retina display Late 2018",4.5,6,"Покупателям нравится Качество сборки, долгое время работыХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Процессор: Core i5Частота процессора: 1600 МГцДиагональ экрана: 13.3 ""Видеокарта: Intel UHD Graphics 617Вес: 1.25 кг",869,78990,281
"Ноутбук Apple MacBook Air 13 Mid 2017",4.5,33,"Покупателям нравится Качество сборки, долгое время работыХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Процессор: Core i5Диагональ экрана: 13.3 ""Видеокарта: Intel HD Graphics 6000Вес: 1.35 кгОптический привод: DVD нет",924,62190,148
"Ноутбук ASUS ZenBook 13 UX331UA",4.5,18,"Покупателям нравится небольшой вес, долгое время работыХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 13.3 ""Видеокарта: Intel HD Graphics 620Вес: 1.1 кгОптический привод: DVD нет4G LTE: нет",363,45438,133
"Ноутбук DELL G5 15 5587",4.5,19,"Покупателям нравится мощный процессор, Качество сборкиХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 15.6 ""Видеокарта: NVIDIA GeForce GTX 1060Вес: 2.61 кгОптический привод: DVD нет4G LTE: нет",762,52488,695
"Ноутбук Acer ASPIRE 3 (A315-41)",5,2,"Покупателям нравится Качество сборки, небольшой весХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Процессор: Ryzen 3Частота процессора: 2500 МГцОбъем жесткого диска: 1000 ГБДиагональ экрана: 15.6 ""Видеокарта: AMD Radeon Vega 8",55,23625,50
